Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Unprovoked,United States,North Carolina,Surfing,M,29,No,August,2014,Oceanic Whitetip Shark,Hand / Fingers
Unprovoked,United States,South Carolina,Other,F,,No,August,2014,Unknown,Unspecified / Multiple
Provoked,United States,Florida,Fishing,M,,No,August,2014,Bull Shark,Arm
Unprovoked,United States,North Carolina,Surfing,,,No,August,2014,Great White Shark,Leg / Foot
Unprovoked,Australia,Western Australia,Fishing,M,31,No,August,2014,Reef Shark,Head / Neck
Unprovoked,United States,Florida,Other,M,,No,August,2014,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Unknown,M,26,No,August,2014,Unknown,Leg / Foot
Unprovoked,Bahamas,,Fishing,M,,No,August,2014,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,10,No,August,2014,Unknown,Leg / Foot
Unprovoked,United States,Louisiana,Swimming,M,7,No,August,2014,Bull Shark,Unspecified / Multiple
Unprovoked,United States,South Carolina,Surfing,M,10,No,August,2014,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,45,No,August,2014,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,,No,August,2014,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,8,No,August,2014,Unknown,Unspecified / Multiple
Unprovoked,South Africa,Western Cape Province,Surfing,M,20,No,August,2014,Great White Shark,Leg / Foot
Unconfirmed,,,Other,M,,Unknown,August,2014,Unknown,Unspecified / Multiple
Unprovoked,United States,North Carolina,Swimming,M,,No,July,2014,Tiger Shark,Leg / Foot
Unprovoked,Réunion,Saint-Leu,Surfing,M,51,No,July,2014,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Other,M,8,No,July,2014,Unknown,Unspecified / Multiple
Unprovoked,Spain,Canary Islands,Swimming,,,No,July,2014,Angel Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,M,61,No,July,2014,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,39,No,July,2014,Great White Shark,Leg / Foot
Unconfirmed,Bahamas,West End,Diving,M,63,Unknown,July,2014,Unknown,Unspecified / Multiple
Unprovoked,United States,North Carolina,Surfing,M,,No,July,2014,Unknown,Arm
Unprovoked,United States,Florida,Surfing,M,14,No,July,2014,Unknown,Leg / Foot
Provoked,United States,California,Swimming,M,,No,July,2014,Great White Shark,Body / Abdomen
Unprovoked,United States,California,Surfing,M,,No,July,2014,Unknown,Unspecified / Multiple
Unprovoked,United States,South Carolina,Surfing,M,19,No,July,2014,Oceanic Whitetip Shark,Hand / Fingers
Watercraft,Saint Martin (French part),,Swimming,M,48,No,June,2014,Oceanic Whitetip Shark,Unspecified / Multiple
Unprovoked,Bahamas,Abaco Islands,Fishing,M,42,No,June,2014,Caribbean Reef Shark,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,,No,June,2014,Unknown,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,15,No,June,2014,Unknown,Unspecified / Multiple
Provoked,Australia,Western Australia,Other,M,,No,June,2014,Lemon Shark,Hand / Fingers
Unprovoked,Brazil,,Fishing,M,43,No,June,2014,Unknown,Arm
Unprovoked,United States,Delaware,Other,M,16,No,June,2014,Sandbar Shark,Arm
Unprovoked,Australia,South Australia,Surfing,M,39,No,June,2014,Bronze Whaler Shark,Body / Abdomen
Unprovoked,Japan,Atsumi peninsula,Surfing,M,43,No,June,2014,Unknown,Arm
Unprovoked,United States,Texas,Fishing,F,14,No,June,2014,Unknown,Shoulder
Unprovoked,United States,Florida,Swimming,F,22,No,June,2014,Bull Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,,No,June,2014,Unknown,Leg / Foot
Unprovoked,United States,Palmyra Atoll,Fishing,F,37,No,June,2014,Blacktip Reef Shark,Hand / Fingers
Unprovoked,Australia,Queensland,Other,F,29,No,May,2014,Bull Shark,Leg / Foot
Unprovoked,France,Wallis and Futuna,Diving,M,,No,May,2014,Great White Shark,Leg / Foot
Provoked,Australia,New South Wales,Swimming,M,10,No,May,2014,Nurse Shark,Hand / Fingers
Unprovoked,United States,Florida,Surfing,F,38,No,May,2014,Unknown,Leg / Foot
Unprovoked,Australia,South Australia,Surfing,M,35,No,May,2014,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,F,44,No,May,2014,Unknown,Leg / Foot
Unprovoked,United States,Georgia,Surfing,M,12,No,May,2014,Unknown,Leg / Foot
Unconfirmed,United States,Florida,Diving,M,,Unknown,May,2014,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,South Carolina,Swimming,F,40,No,May,2014,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Diving,,,No,May,2014,Great White Shark,Arm
Unprovoked,United States,Florida,Surfing,M,23,No,May,2014,Great White Shark,Hand / Fingers
Unprovoked,Australia,Western Australia,Fishing,M,,No,April,2014,Reef Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,42,No,April,2014,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,25,No,April,2014,Unknown,Leg / Foot
Watercraft,South Africa,,Swimming,,,No,April,2014,Great White Shark,Unspecified / Multiple
Provoked,South Africa,Eastern Cape Province,Fishing,M,,No,April,2014,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,13,No,April,2014,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,14,No,April,2014,Great White Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Swimming,F,63,Yes,April,2014,Great White Shark,Unspecified / Multiple
Unconfirmed,Australia,Western Australia,Diving,M,38,Unknown,March,2014,Unknown,Unspecified / Multiple
Unprovoked,South Africa,Eastern Cape Province,Swimming,M,66,Yes,March,2014,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,,No,March,2014,Oceanic Whitetip Shark,Arm
Unprovoked,United States,Florida,Surfing,M,9,No,March,2014,Unknown,Leg / Foot
Unprovoked,New Caledonia,Baie de Sainte-Marie,Surfing,M,42,No,March,2014,Unknown,Leg / Foot
Unprovoked,Australia,Victoria,Surfing,M,42,No,March,2014,Unknown,Unspecified / Multiple
Unconfirmed,Australia,New South Wales,Unknown,F,10,Unknown,March,2014,Tiger Shark,Arm
Unprovoked,Australia,New South Wales,Swimming,M,,No,March,2014,Wobbegong Shark,Leg / Foot
Unconfirmed,Cayman Islands,,Diving,M,,Unknown,March,2014,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,21,No,March,2014,Spinner Shark,Unspecified / Multiple
Unprovoked,French Polynesia,Society Islands,Surfing,M,21,No,February,2014,Blacktip Reef Shark,Leg / Foot
Watercraft,Papua New Guinea,,Boating,M,21,No,February,2014,Unknown,Unspecified / Multiple
Unprovoked,Australia,South Australia,Diving,M,28,Yes,February,2014,Unknown,Unspecified / Multiple
Provoked,Trinidad and Tobago,Trinidad,Fishing,M,,No,February,2014,Unknown,Unspecified / Multiple
Unprovoked,New Zealand,South Island,Surfing,M,28,No,February,2014,Bronze Whaler Shark,Leg / Foot
Provoked,Australia,New South Wales,Fishing,M,,No,January,2014,Great White Shark,Hand / Fingers
Unprovoked,New Zealand,South Island,Fishing,M,24,No,January,2014,Bronze Whaler Shark,Leg / Foot
Sea Disaster,Japan,Okinawa Prefecture,Other,M,31,No,January,2014,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Diving,M,,No,,2014,Oceanic Whitetip Shark,Shoulder
Watercraft,New Zealand,,Fishing,,,No,,2014,Great White Shark,Unspecified / Multiple
Unprovoked,New Caledonia,North Province,Diving,M,37,No,December,2013,Bull Shark,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Surfing,M,19,No,December,2013,Great White Shark,Leg / Foot
Unprovoked,Kiribati,740 miles SE of Tarawa Atoll,Fishing,M,35,No,December,2013,Unknown,Arm
Unprovoked,United States,Hawaii,Surfing,M,29,No,December,2013,Tiger Shark,Hand / Fingers
Unprovoked,United States,Florida,Surfing,M,30,No,December,2013,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,26,No,December,2013,Wobbegong Shark,Leg / Foot
Unprovoked,United States,Hawaii,Fishing,M,57,Yes,December,2013,Unknown,Unspecified / Multiple
Unprovoked,Australia,New South Wales,Surfing,M,19,Yes,November,2013,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Diving,F,58,No,November,2013,Unknown,Leg / Foot
Unprovoked,Australia,Western Australia,Surfing,M,35,Yes,November,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Oregon,Surfing,M,25,No,November,2013,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,M,,No,November,2013,Great White Shark,Unspecified / Multiple
Provoked,Bahamas,,Fishing,M,77,No,November,2013,Unknown,Leg / Foot
Unprovoked,United States,New Jersey,Surfing,M,16,No,November,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,,No,November,2013,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Swimming,M,46,No,October,2013,Tiger Shark,Leg / Foot
Unprovoked,Australia,Western Australia,Diving,F,60,No,October,2013,Blacktip Reef Shark,Arm
Unprovoked,Réunion,d’Étang-Salé,Surfing,M,24,No,October,2013,Bull Shark,Leg / Foot
Unprovoked,Australia,Western Australia,Diving,M,,No,October,2013,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,New South Wales,Surfing,M,41,No,October,2013,Wobbegong Shark,Leg / Foot
Unprovoked,United States,Hawaii,Diving,M,45,No,October,2013,Whitetip Reef Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,25,No,October,2013,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,6,No,October,2013,Nurse Shark,Leg / Foot
Unprovoked,South Africa,Eastern Cape Province,Swimming,M,74,Yes,October,2013,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Diving,M,55,No,October,2013,Great White Shark,Body / Abdomen
Unprovoked,United States,California,Surfing,M,45,No,October,2013,Great White Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,12,No,October,2013,Bull Shark,Arm
Unprovoked,United States,Florida,Surfing,M,50,No,September,2013,Unknown,Hand / Fingers
Unprovoked,Israel,Southern District,Diving,M,27,No,September,2013,Unknown,Hand / Fingers
Unprovoked,United States,Florida,Other,M,7,No,September,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,45,No,September,2013,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,,No,September,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,21,No,September,2013,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,F,13,No,September,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,South Carolina,Unknown,F,,Unknown,September,2013,Unknown,Unspecified / Multiple
Provoked,United States,Florida,Surfing,M,43,No,September,2013,Great White Shark,Leg / Foot
Unprovoked,United States,Florida,Other,M,25,No,September,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,17,No,September,2013,Unknown,Shoulder
Provoked,United States,Florida,Unknown,M,3,No,September,2013,Nurse Shark,Arm
Unprovoked,Bahamas,,Unknown,M,,No,September,2013,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,9,No,September,2013,Great White Shark,Leg / Foot
Unprovoked,Bahamas,,Fishing,M,,No,August,2013,Blacktip Shark,Leg / Foot
Unprovoked,United States,California,Swimming,M,,No,August,2013,Lemon Shark,Leg / Foot
Unconfirmed,United States,California,Swimming,F,47,Unknown,August,2013,Tiger Shark,Body / Abdomen
Provoked,France,Bay of Biscay,Fishing,M,50,No,August,2013,Mako Shark,Arm
Unprovoked,United States,Florida,Surfing,F,11,No,August,2013,Unknown,Leg / Foot
Unprovoked,Australia,New South Wales,Fishing,M,,No,August,2013,Unknown,Arm
Unprovoked,United States,Hawaii,Surfing,M,16,No,August,2013,Unknown,Leg / Foot
Unprovoked,United States,California,Surfing,F,,No,August,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Diving,F,20,Yes,August,2013,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,F,19,No,August,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,South Carolina,Surfing,M,10,No,August,2013,Bull Shark,Unspecified / Multiple
Unprovoked,South Africa,,Diving,M,,No,August,2013,Blacktip Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Fishing,M,17,No,August,2013,Bull Shark,Leg / Foot
Unprovoked,United States,Hawaii,Diving,F,56,No,July,2013,Unknown,Hand / Fingers
Unprovoked,United States,South Carolina,Swimming,M,32,No,July,2013,Unknown,Leg / Foot
Unprovoked,Bahamas,Abaco Islands,Fishing,M,40,No,July,2013,Great White Shark,Leg / Foot
Unprovoked,Mexico,Quintana Roo,Swimming,F,,No,July,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,18,No,July,2013,Tiger Shark,Leg / Foot
Unprovoked,Bahamas,Exuma Islands,Boating,M,64,No,July,2013,Nurse Shark,Hand / Fingers
Unprovoked,Bahamas,Abaco Islands,Diving,M,50,No,July,2013,Unknown,Unspecified / Multiple
Unprovoked,Brazil,Pernambuco,Swimming,F,18,Yes,July,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Alabama,Surfing,F,50,No,July,2013,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,,No,July,2013,Unknown,Leg / Foot
Unprovoked,Réunion,Saint-Paul,Swimming,F,15,Yes,July,2013,Unknown,Unspecified / Multiple
Unprovoked,China,,Swimming,M,33,Yes,July,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,North Carolina,Swimming,F,63,No,July,2013,Unknown,Leg / Foot
Unconfirmed,Spain,Catalonia,Swimming,M,48,Unknown,July,2013,Unknown,Arm
Unprovoked,Australia,Victoria,Surfing,M,29,No,July,2013,Unknown,Unspecified / Multiple
Unprovoked,"Taiwan, Province of China",Taitung,Fishing,M,,No,June,2013,Unknown,Leg / Foot
Unconfirmed,Jamaica,Kingston Parish,Unknown,M,20,Unknown,June,2013,Unknown,Unspecified / Multiple
Watercraft,United States,California,Fishing,M,,No,June,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,,No,June,2013,Bull Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,M,14,No,June,2013,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,United States,Hawaii,Swimming,M,28,No,June,2013,Tiger Shark,Leg / Foot
Unprovoked,United States,Texas,Swimming,M,15,No,June,2013,Unknown,Leg / Foot
Unprovoked,South Africa,Eastern Cape Province,Surfing,M,,No,June,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,F,,No,June,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,South Carolina,Surfing,F,10,No,June,2013,Oceanic Whitetip Shark,Hand / Fingers
Provoked,United States,Florida,Fishing,M,58,No,June,2013,Lemon Shark,Hand / Fingers
Unprovoked,Australia,New South Wales,Surfing,M,,No,June,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Diving,M,32,No,May,2013,Galapagos Shark,Hand / Fingers
Unprovoked,United States,Florida,Swimming,M,11,No,May,2013,Unknown,Leg / Foot
Unprovoked,Brazil,Pernambuco,Unknown,M,41,Yes,May,2013,Unknown,Unspecified / Multiple
Provoked,Estonia,,Fishing,M,30,No,May,2013,Unknown,Hand / Fingers
Unprovoked,Ecuador,Santa Cruz Island,Surfing,M,29,No,May,2013,Galapagos Shark,Leg / Foot
Unconfirmed,United States,California,Surfing,M,42,Unknown,May,2013,Unknown,Unspecified / Multiple
Unprovoked,Réunion,Saint-Gilles,Surfing,M,36,Yes,May,2013,Bull Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,16,No,May,2013,Caribbean Reef Shark,Leg / Foot
Provoked,Australia,New South Wales,Fishing,M,,No,April,2013,Unknown,Leg / Foot
Unprovoked,Mexico,Quintana Roo,Swimming,F,34,No,April,2013,Tiger Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Fishing,M,51,No,April,2013,Nurse Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,9,No,April,2013,Great White Shark,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Diving,M,,No,April,2013,Blue Shark,Arm
Unprovoked,United States,Florida,Surfing,M,21,No,April,2013,Bull Shark,Hand / Fingers
Unprovoked,Guam,,Unknown,M,40,Yes,April,2013,Unknown,Unspecified / Multiple
Unprovoked,French Polynesia,Tuamotus,Surfing,M,53,No,April,2013,Blacktip Reef Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,50,No,April,2013,Unknown,Hand / Fingers
Unconfirmed,Australia,Western Australia,Unknown,M,24,Unknown,April,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,58,No,April,2013,Great White Shark,Leg / Foot
Unconfirmed,Australia,New South Wales,Surfing,M,47,Unknown,March,2013,Tiger Shark,Unspecified / Multiple
Unprovoked,Seychelles,,Diving,M,34,No,March,2013,Unknown,Leg / Foot
Unprovoked,Belize,,Diving,F,,No,March,2013,Nurse Shark,Unspecified / Multiple
Unprovoked,Bahamas,Eleuthera,Fishing,M,50,No,March,2013,Unknown,Leg / Foot
Provoked,South Africa,Western Cape Province,Fishing,M,30,No,March,2013,Tiger Shark,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Surfing,M,,No,March,2013,Unknown,Unspecified / Multiple
Unprovoked,Jamaica,St. Catherine,Fishing,M,68,Yes,March,2013,Tiger Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Fishing,M,28,No,March,2013,Bronze Whaler Shark,Hand / Fingers
Unprovoked,Philippines,Palawan,Swimming,M,,No,March,2013,Bull Shark,Leg / Foot
Unprovoked,South Africa,Eastern Cape Province,Swimming,M,39,No,March,2013,Unknown,Arm
Unprovoked,New Zealand,North Island,Swimming,M,46,Yes,February,2013,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,,,No,February,2013,Reef Shark,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,M,,No,February,2013,Reef Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,16,No,February,2013,Blacktip Shark,Hand / Fingers
Unprovoked,French Polynesia,Society Islands,Diving,M,48,No,February,2013,Lemon Shark,Leg / Foot
Unprovoked,Jamaica,Kingston Parish,Unknown,M,18,No,February,2013,Unknown,Unspecified / Multiple
Watercraft,Australia,Victoria,Fishing,M,,No,January,2013,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,Queensland,Surfing,M,,No,January,2013,Unknown,Head / Neck
Unconfirmed,Australia,Queensland,Fishing,M,62,Unknown,January,2013,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,43,No,January,2013,Tiger Shark,Arm
Unprovoked,New Zealand,Mercury Islands,Fishing,M,,No,January,2013,Bronze Whaler Shark,Hand / Fingers
Unprovoked,Australia,Western Australia,Diving,M,26,No,January,2013,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,,No,December,2012,Unknown,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,23,No,December,2012,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,New South Wales,Swimming,M,29,No,December,2012,Bull Shark,Leg / Foot
Unprovoked,South Africa,Eastern Cape Province,Swimming,M,20,Yes,December,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,M,32,No,December,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,60,No,December,2012,Great White Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Fishing,M,31,No,December,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,New Zealand,South Island,Diving,F,25,No,December,2012,Sevengill Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Diving,M,61,No,November,2012,Tiger Shark,Leg / Foot
Unconfirmed,Australia,Queensland,Unknown,M,20,Unknown,November,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,Mexico,Sinaloa,Swimming,M,32,Yes,November,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,14,No,November,2012,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,United States,Hawaii,Diving,M,30,No,November,2012,Tiger Shark,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,M,43,No,November,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,California,Surfing,M,25,No,October,2012,Great White Shark,Body / Abdomen
Unprovoked,United States,Hawaii,Swimming,F,51,No,October,2012,Tiger Shark,Leg / Foot
Unprovoked,United States,California,Surfing,M,39,Yes,October,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Unknown,F,35,No,October,2012,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,24,No,October,2012,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,M,55,No,October,2012,Oceanic Whitetip Shark,Unspecified / Multiple
Unconfirmed,United States,Florida,Unknown,M,,Unknown,October,2012,Unknown,Unspecified / Multiple
Unprovoked,Nigeria,Delta,Swimming,F,38,No,October,2012,Unknown,Leg / Foot
Unprovoked,United States,California,Surfing,M,42,No,October,2012,Unknown,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,M,11,No,October,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,21,No,September,2012,Great White Shark,Arm
Unprovoked,United States,Florida,Surfing,M,22,No,September,2012,Great White Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,52,No,September,2012,Unknown,Leg / Foot
Unprovoked,Tonga,Vava'u,Swimming,F,29,No,September,2012,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,,19,No,September,2012,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,25,No,September,2012,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,,No,September,2012,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,,No,September,2012,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,37,No,September,2012,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,32,No,September,2012,Unknown,Hand / Fingers
Unprovoked,United States,Florida,Surfing,F,8,No,September,2012,Bull Shark,Leg / Foot
Provoked,United States,Hawaii,Fishing,,,No,September,2012,Tiger Shark,Hand / Fingers
Unprovoked,United States,Florida,Swimming,F,56,No,September,2012,Bull Shark,Unspecified / Multiple
Provoked,Poland,Inner Hebrides,Fishing,M,53,No,August,2012,Porbeagle Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,M,34,No,August,2012,Unknown,Arm
Unprovoked,Brazil,Pernambuco,Swimming,M,18,Yes,August,2012,Unknown,Unspecified / Multiple
Unprovoked,United States,Alabama,Swimming,M,31,No,August,2012,Unknown,Leg / Foot
Watercraft,Australia,Western Australia,Fishing,,,No,August,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Diving,M,56,No,August,2012,Lemon Shark,Hand / Fingers
Unprovoked,Réunion,Saint Leu,Surfing,M,39,No,August,2012,Bull Shark,Leg / Foot
Unprovoked,French Polynesia,Tuamotus,Fishing,M,,No,August,2012,Lemon Shark,Shoulder
Unprovoked,United States,California,Surfing,M,17,No,July,2012,Unknown,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,48,No,July,2012,Great White Shark,Arm
Unprovoked,United States,Hawaii,Surfing,M,44,No,July,2012,Unknown,Leg / Foot
Unprovoked,United States,Massachusetts,Surfing,M,50,No,July,2012,Great White Shark,Leg / Foot
Unconfirmed,United States,North Carolina,Unknown,M,12,Unknown,July,2012,Unknown,Unspecified / Multiple
Unprovoked,Réunion,Trois-Bassins,Surfing,M,22,Yes,July,2012,Unknown,Unspecified / Multiple
Unconfirmed,Trinidad and Tobago,Trinidad,Swimming,M,24,Unknown,July,2012,Unknown,Unspecified / Multiple
Unconfirmed,Canada,British Columbia,Surfing,F,23,Unknown,July,2012,Great White Shark,Hand / Fingers
Unprovoked,Australia,Western Australia,Surfing,M,24,Yes,July,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,North Carolina,Swimming,F,43,No,July,2012,Unknown,Leg / Foot
Unprovoked,Bahamas,Eleuthera,Fishing,M,,No,July,2012,Unknown,Leg / Foot
Unconfirmed,Australia,Victoria,Diving,F,42,Unknown,July,2012,Unknown,Unspecified / Multiple
Watercraft,United States,California,Boating,M,52,No,July,2012,Bull Shark,Unspecified / Multiple
Unprovoked,South Africa,Western Cape Province,Surfing,M,29,No,July,2012,Great White Shark,Leg / Foot
Unconfirmed,Croatia,,Swimming,,60,Unknown,June,2012,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,6,No,June,2012,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,26,No,June,2012,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Boating,F,16,No,June,2012,Reef Shark,Leg / Foot
Unprovoked,Australia,Tasmania,Surfing,M,,No,June,2012,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,M,12,No,June,2012,Unknown,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,M,62,No,June,2012,Great White Shark,Unspecified / Multiple
Unconfirmed,United States,South Carolina,Other,M,16,Unknown,June,2012,Tiger Shark,Leg / Foot
Unprovoked,United States,North Carolina,Swimming,F,6,No,June,2012,Unknown,Leg / Foot
Provoked,United States,Florida,Fishing,M,23,No,June,2012,Nurse Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,F,18,No,June,2012,Blacktip Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,M,,No,June,2012,Unknown,Unspecified / Multiple
Unprovoked,United States,South Carolina,Swimming,M,,No,June,2012,Blacktip Shark,Leg / Foot
Unprovoked,United States,South Carolina,Swimming,M,16,No,June,2012,Blacktip Shark,Leg / Foot
Unprovoked,Australia,Victoria,Surfing,M,42,No,June,2012,Great White Shark,Leg / Foot
Provoked,Italy,Sardinia,Other,M,57,Unknown,June,2012,Blue Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,30,No,June,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,F,12,No,June,2012,Unknown,Leg / Foot
Unprovoked,United States,South Carolina,Surfing,M,25,No,June,2012,Unknown,Leg / Foot
Unprovoked,United States,North Carolina,Swimming,F,33,No,May,2012,Bull Shark,Leg / Foot
Unprovoked,Mexico,Guerrero,Diving,M,46,No,May,2012,Bull Shark,Hand / Fingers
Unprovoked,United States,Florida,Surfing,M,22,No,May,2012,Oceanic Whitetip Shark,Leg / Foot
Watercraft,United States,Hawaii,Fishing,M,,No,May,2012,Tiger Shark,Unspecified / Multiple
Unprovoked,Fiji,,Fishing,M,20,No,May,2012,Unknown,Head / Neck
Watercraft,United States,California,Fishing,M,30,No,May,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Swimming,F,47,No,May,2012,Unknown,Leg / Foot
Unprovoked,United States,California,Swimming,F,15,No,May,2012,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,28,No,April,2012,Great White Shark,Hand / Fingers
Unprovoked,South Africa,Western Cape Province,Surfing,M,20,Yes,April,2012,Great White Shark,Unspecified / Multiple
Watercraft,Australia,South Australia,Boating,M,27,No,April,2012,Great White Shark,Leg / Foot
