Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Unprovoked,United States,California,Swimming,M,46,No,,2024,Unknown,Arm
Unprovoked,Cocos (Keeling) Islands,Maahvah Laamu Atoll,Other,M,23,Yes,,2024,Unknown,Unspecified / Multiple
Unprovoked,United States,Galveston,Swimming,F,19,No,,2024,Unknown,Hand / Fingers
Unprovoked,Turks and Caicos Islands,Providenciales Island,Diving,M,27,No,,2024,Great White Shark,Leg / Foot
Unprovoked,French Polynesia,Gambier Islands,Diving,M,20,No,,2024,Great White Shark,Arm
Unprovoked,United States,South Carolina,Fishing,M,65,No,,2024,Sandbar Shark,Arm
Unprovoked,Trinidad and Tobago,Graet Courland Bay,Swimming,M,64,No,,2024,Bull Shark,Leg / Foot
Unprovoked,Bahamas,Clarence Town Long Isand,Other,M,24,No,,2024,Reef Shark,Leg / Foot
Unprovoked,Australia,South Australia,Fishing,M,16,No,,2024,Unknown,Leg / Foot
Unprovoked,Australia,Western Australia,Surfing,M,26,No,,2024,Unknown,Leg / Foot
Unprovoked,Cocos (Keeling) Islands,Nunu Atoll,Swimming,M,,No,,2024,Unknown,Leg / Foot
Unprovoked,Australia,Queensland,Swimming,F,13,No,March,2024,Tiger Shark,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,M,,No,March,2024,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Swimming,F,11,No,March,2024,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,Australia,Western Australia,Swimming,F,46,No,February,2024,Tiger Shark,Leg / Foot
Unprovoked,India,Maharashtra,Fishing,M,32,No,February,2024,Bull Shark,Leg / Foot
Provoked,Trinidad and Tobago,,Fishing,M,,No,February,2024,Blacktip Reef Shark,Shoulder
Unprovoked,Australia,New South Wales,Swimming,F,29,No,January,2024,Bull Shark,Leg / Foot
Unprovoked,Bahamas,Paradise Island,Swimming,M,10,No,January,2024,Unknown,Leg / Foot
Unprovoked,Australia,South Australia,Surfing,M,64,No,January,2024,Great White Shark,Leg / Foot
Provoked,South Africa,Eastern Cape Province,Fishing,M,62,No,January,2024,Tiger Shark,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,M,39,Yes,December,2023,Unknown,Unspecified / Multiple
Unprovoked,Mexico,Sonora,Diving,M,22,Yes,December,2023,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,15,Yes,December,2023,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,New South Wales,Surfing,M,16,No,December,2023,Unknown,Leg / Foot
Unprovoked,Australia,Western Australia,Surfing,M,46,No,December,2023,Unknown,Unspecified / Multiple
Unprovoked,New Zealand,South Island,Swimming,F,21,No,December,2023,Sevengill Shark,Leg / Foot
Unconfirmed,Mexico,Guerrero,Swimming,M,66,Yes,December,2023,Unknown,Unspecified / Multiple
Unconfirmed,Mexico,Guerrero,Swimming,F,52,No,December,2023,Unknown,Leg / Foot
Unprovoked,Australia,Queensland,Diving,M,20,No,December,2023,Unknown,Leg / Foot
Unprovoked,Bahamas,New Providence   Isoad,Swimming,F,44,Yes,December,2023,Unknown,Unspecified / Multiple
Unprovoked,Mexico,Jalisco,Swimming,F,26,Yes,December,2023,Unknown,Unspecified / Multiple
Unprovoked,Australia,Queensland,Swimming,M,21,No,November,2023,Bull Shark,Arm
Unprovoked,Bahamas,Grand  Bahama Island,Diving,F,47,Yes,November,2023,Unknown,Unspecified / Multiple
Unprovoked,Australia,South Australia,Diving,F,32,No,November,2023,Unknown,Head / Neck
Unprovoked,United States,Florida,Swimming,M,66,No,November,2023,Unknown,Arm
Unprovoked,Australia,Western Australia,Fishing,M,,No,November,2023,Lemon Shark,Unspecified / Multiple
Unprovoked,New Zealand,North Island,Diving,M,,No,November,2023,Great White Shark,Unspecified / Multiple
Unconfirmed,Egypt,Southern Red Sea,Diving,M,66,No,November,2023,Oceanic Whitetip Shark,Head / Neck
Unprovoked,Australia,South Australia,Surfing,M,55,Yes,October,2023,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,30,No,October,2023,Tiger Shark,Leg / Foot
Provoked,Mexico,Quintana Roo,Fishing,M,59,No,October,2023,Unknown,Arm
Watercraft,Australia,Western Australia,Fishing,M,,No,October,2023,Unknown,Unspecified / Multiple
Unprovoked,Belize,Belize District,Diving,F,8,No,October,2023,Nurse Shark,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,M,50,No,October,2023,Tiger Shark,Leg / Foot
Unprovoked,United States,California,Surfing,M,52,No,October,2023,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Surfing,F,45,No,October,2023,Galapagos Shark,Unspecified / Multiple
Unprovoked,Australia,South Australia,Swimming,F,64,No,October,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,California,Swimming,M,52,Yes,October,2023,Unknown,Body / Abdomen
Unprovoked,United States,South Carolina,Swimming,M,,No,September,2023,Unknown,Unspecified / Multiple
Unprovoked,Egypt,South Sinai,Swimming,F,34,No,September,2023,Tiger Shark,Arm
Unconfirmed,United States,Florida,Surfing,M,38,No,September,2023,Unknown,Head / Neck
Unprovoked,United States,Florida,Surfing,M,,No,September,2023,Unknown,Unspecified / Multiple
Unprovoked,Philippines,Bolinao,Fishing,M,,Unknown,September,2023,Unknown,Leg / Foot
Watercraft,"Bolivia, Plurinational State of",,Diving,M,,No,September,2023,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,,No,September,2023,Unknown,Hand / Fingers
Unprovoked,United States,Florida,Swimming,F,37,No,September,2023,Unknown,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,44,Unknown,August,2023,Great White Shark,Unspecified / Multiple
Unprovoked,United States,North Carolina,Swimming,,9,No,August,2023,Unknown,Shoulder
Watercraft,United States,California,Fishing,M,19,No,August,2023,Unknown,Unspecified / Multiple
Unconfirmed,Bahamas,New Providence   Isoad,Unknown,M,,Unknown,August,2023,Unknown,Body / Abdomen
Unprovoked,Spain,Valencia,Swimming,M,35,No,August,2023,Blue Shark,Leg / Foot
Provoked,Portugal,Norte,Fishing,M,,No,August,2023,Blue Shark,Leg / Foot
Unprovoked,Samoa,Savai'i island,Swimming,M,,Yes,August,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,New York,Swimming,F,65,No,August,2023,Unknown,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,22,No,July,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Fishing,M,22,No,July,2023,Unknown,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,26,No,July,2023,Unknown,Leg / Foot
Unprovoked,Australia,Western Australia,Surfing,M,,No,July,2023,Great White Shark,Leg / Foot
Unprovoked,Australia,Western Australia,Diving,M,77,No,July,2023,Wobbegong Shark,Leg / Foot
Unprovoked,United States,South Carolina,Surfing,M,60,No,July,2023,Great White Shark,Leg / Foot
Unprovoked,Colombia,San Andrés Island,Diving,M,38,No,July,2023,Oceanic Whitetip Shark,Leg / Foot
Unprovoked,United States,Florida,Boating,M,49,No,July,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,21,No,July,2023,Unknown,Leg / Foot
Watercraft,South Africa,Eastern Cape Province,Swimming,,,No,July,2023,Unknown,Unspecified / Multiple
Unprovoked,Ecuador,Galapagos Islands,Diving,F,42,No,July,2023,Unknown,Leg / Foot
Unprovoked,United States,New York,Other,F,,No,July,2023,Great White Shark,Leg / Foot
Unprovoked,United States,New York,Swimming,M,49,No,July,2023,Great White Shark,Hand / Fingers
Unprovoked,United States,New York,Swimming,M,47,No,July,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,New York,Surfing,M,15,No,July,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,New York,Swimming,F,15,No,July,2023,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,,No,June,2023,Unknown,Leg / Foot
Unprovoked,United States,Florida,Fishing,M,,No,June,2023,Unknown,Hand / Fingers
Unprovoked,United States,Hawaii,Fishing,M,,No,June,2023,Tiger Shark,Unspecified / Multiple
Unprovoked,Egypt,Red Sea Protectorate,Swimming,M,24,Yes,June,2023,Tiger Shark,Unspecified / Multiple
Unprovoked,Bahamas,Freeport,Diving,F,73,Unknown,June,2023,Reef Shark,Leg / Foot
Unprovoked,French Polynesia,Tahiti,Surfing,F,25,No,May,2023,Grey Reef Shark,Unspecified / Multiple
Unprovoked,New Caledonia,Poum,Fishing,M,42,Yes,May,2023,Unknown,Leg / Foot
Unprovoked,Turks and Caicos Islands,Providenciales Island,Diving,F,22,No,May,2023,Caribbean Reef Shark,Leg / Foot
Unconfirmed,Bahamas,Lucayan Lucayan Archipelago,Other,M,18,Yes,May,2023,Great White Shark,Body / Abdomen
Provoked,United States,Utah,Diving,F,26,No,,2023,Tiger Shark,Hand / Fingers
Unprovoked,United States,New Jersey,Surfing,F,15,No,May,2023,Unknown,Leg / Foot
Provoked,United States,Florida,Fishing,M,35,No,May,2023,Unknown,Leg / Foot
Unprovoked,United States,Florida,Fishing,M,20,No,May,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,South Carolina,Swimming,F,24,No,May,2023,Unknown,Unspecified / Multiple
Unprovoked,Australia,South Australia,Surfing,M,46,Yes,May,2023,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Boating,F,13,No,May,2023,Bull Shark,Unspecified / Multiple
Provoked,United States,Hawaii,Fishing,M,,No,May,2023,Tiger Shark,Unspecified / Multiple
Provoked,Cuba,Mayabeque,Fishing,M,,Yes,May,2023,Bull Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Fishing,M,22,No,May,2023,Unknown,Leg / Foot
Unprovoked,South Africa,Easten Cape Province,Surfing,M,,No,May,2023,Unknown,Leg / Foot
Unprovoked,South Africa,Easten Cape Province,Diving,M,39,No,May,2023,Unknown,Shoulder
Unprovoked,Australia,Western Australia,Swimming,M,,No,April,2023,Great White Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Diving,M,11,No,April,2023,Unknown,Leg / Foot
Unprovoked,United States,Florida,Fishing,M,,No,April,2023,Bull Shark,Leg / Foot
